event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
3707,GMM,True,False,False,False,False,False,False,False
3708,GMM,False,True,False,False,False,False,False,False
3709,GMM,False,False,False,False,True,False,False,False
3710,GMM,False,False,True,False,False,False,False,True
3711,GMM,False,False,False,False,True,False,False,False
3713,GMM,False,False,False,False,True,False,False,False
3714,GMM,False,False,False,False,True,False,False,False
3715,GMM,False,False,True,False,True,False,False,False
3717,GMM,False,False,False,False,True,False,False,False
3718,GMM,False,True,False,False,False,False,False,False
3719,GMM,False,False,False,False,True,False,False,False
3720,GMM,False,False,True,False,True,False,False,False
3721,GMM,False,False,False,False,True,False,False,False
3723,GMM,False,False,False,False,True,False,False,False
3724,GMM,False,False,True,False,False,False,False,False
3725,GMM,False,False,True,False,True,False,False,False
3726,GMM,False,False,True,False,False,False,False,False
3727,GMM,True,False,False,False,False,False,False,False
3728,GMM,False,False,False,False,True,False,False,False
3730,GMM,False,False,False,False,True,False,False,False
3731,GMM,True,False,False,False,False,False,False,False
3732,GMM,False,True,False,False,False,False,False,False
3733,GMM,False,False,False,False,True,False,False,False
3735,GMM,False,False,True,False,True,False,False,False
3736,GMM,False,False,False,False,True,False,False,False
3737,GMM,False,False,False,True,True,True,False,False
3740,GMM,True,False,False,False,False,False,False,False
3743,GMM,False,False,True,False,True,False,False,False
3744,GMM,False,True,False,False,False,False,False,False
3747,GMM,False,False,True,False,True,False,False,False
3748,GMM,False,False,True,False,True,False,False,True
3749,GMM,True,False,False,False,False,False,False,False
3750,GMM,False,False,True,False,True,False,False,False
3751,GMM,False,False,True,False,True,False,False,False
3752,GMM,False,True,False,False,False,False,False,False
3753,GMM,False,False,False,False,True,False,False,False
3754,GMM,False,False,True,False,False,False,False,False
3757,GMM,True,False,False,False,False,False,False,False
3758,GMM,False,True,False,False,False,False,False,False
3759,GMM,False,False,False,False,True,False,False,False
3760,GMM,True,False,False,False,False,False,False,False
3762,GMM,True,False,False,False,False,False,False,False
3763,GMM,False,False,True,False,False,False,False,False
3764,GMM,False,False,False,False,True,False,False,False
3765,GMM,False,True,False,False,False,False,False,False
3766,GMM,False,False,True,False,True,False,False,False
3767,GMM,False,False,True,False,False,False,False,False
3768,GMM,False,False,False,False,True,False,False,False
3769,GMM,False,False,True,False,True,False,False,False
3771,GMM,False,False,False,False,True,False,False,False
3773,GMM,False,True,False,False,False,False,False,False
3775,GMM,True,False,False,False,False,False,False,False
3777,GMM,False,False,False,False,True,False,False,False
3778,GMM,False,False,True,False,True,False,False,True
3782,GMM,False,False,False,False,True,False,False,False
3783,GMM,False,False,False,False,True,False,False,False
3785,GMM,True,False,False,False,False,False,False,False
3786,GMM,True,False,False,False,False,False,False,False
3787,GMM,False,True,False,False,False,False,False,False
3789,GMM,False,False,True,False,True,False,False,False
3790,GMM,False,False,True,False,True,False,False,False
3793,GMM,False,False,False,False,True,False,False,False
3794,GMM,False,True,False,False,False,False,False,False
3795,GMM,False,True,False,False,False,False,False,False
3796,GMM,False,False,False,False,True,False,False,False
3797,GMM,False,False,False,True,True,True,False,False
3800,GMM,False,True,False,False,False,False,False,False
3801,GMM,False,False,False,False,True,False,False,False
3803,GMM,False,False,False,False,True,False,False,False
3804,GMM,True,False,False,False,False,False,False,False
3805,GMM,False,False,False,False,True,False,False,False
3807,GMM,False,False,False,False,True,False,False,False
3808,GMM,False,False,False,False,True,False,False,False
3810,GMM,False,False,True,False,False,False,False,True
3812,GMM,False,False,True,False,False,False,False,False
3813,GMM,True,False,False,False,False,False,False,False
3814,GMM,False,True,False,False,False,False,False,False
3815,GMM,False,False,False,False,True,False,False,False
3818,GMM,False,False,True,False,False,False,False,False
3820,GMM,False,False,False,False,True,False,False,False
3821,GMM,True,False,False,False,False,False,False,False
3822,GMM,False,False,False,False,True,False,False,False
3823,GMM,False,False,True,False,True,False,False,True
3824,GMM,False,False,True,False,False,False,False,False
3827,GMM,False,False,False,False,True,False,False,False
3829,GMM,False,True,False,False,False,False,False,False
3830,GMM,True,False,False,False,False,False,False,False
3831,GMM,False,False,False,True,True,True,False,False
3833,GMM,False,False,True,False,True,False,False,False
3836,GMM,False,False,False,False,True,False,False,False
3838,GMM,False,True,False,False,False,False,False,False
3841,GMM,False,False,True,False,True,False,False,True
3842,GMM,False,False,False,False,True,False,False,False
3843,GMM,True,False,False,False,False,False,False,False
3847,GMM,False,False,True,True,True,True,False,False
3848,GMM,False,False,True,False,True,False,False,False
